,IngressEgressDelta,PDR,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio
IngressEgressDelta,1.0,,0.807778615937431,0.260395533892388,0.3259250009236883,0.020021749519060782,
PDR,,1.0,-0.9100731338610939,0.32840345001246674,,0.8555624320631757,
RSSI_mean,0.807778615937431,-0.9100731338610939,1.0,0.0074814276235228815,,-0.4632680249383649,-0.4524475277804388
RSSI_var,0.260395533892388,0.32840345001246674,0.0074814276235228815,1.0,0.31959005839074284,0.19864955195301082,0.012439696378825492
RSSI_stability,0.3259250009236883,,,0.31959005839074284,1.0,,
RSSI_Hop_Diff,0.020021749519060782,0.8555624320631757,-0.4632680249383649,0.19864955195301082,,1.0,0.4524475277804388
LatencyHopRatio,,,-0.4524475277804388,0.012439696378825492,,0.4524475277804388,1.0
