,IngressEgressDelta,PDR,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio
IngressEgressDelta,1.0,,0.9324689932222084,0.16710546407903096,0.32592500092368837,-0.1617624661016242,
PDR,,1.0,-0.9798505843781199,0.17682083005015364,,0.7784654434650045,
RSSI_mean,0.9324689932222084,-0.9798505843781199,1.0,0.0405551477118756,,-0.40322561318002687,-0.3797405874372357
RSSI_var,0.16710546407903096,0.17682083005015364,0.0405551477118756,1.0,0.25497182076007,0.1641445575416491,-0.03580136924259258
RSSI_stability,0.32592500092368837,,,0.25497182076007,1.0,,
RSSI_Hop_Diff,-0.1617624661016242,0.7784654434650045,-0.40322561318002687,0.1641445575416491,,1.0,0.37974058743723754
LatencyHopRatio,,,-0.3797405874372357,-0.03580136924259258,,0.37974058743723754,1.0
