,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio
RetryRate,1.0,0.023537350346413837,0.36157550388942694,0.36157550388942694,-0.39396159943145564,0.22457951135675938,0.37178115136822865,-0.2375758899208779,0.21591136929167729,0.0033548629569374417
PDR,0.023537350346413837,1.0,0.014093729464350618,0.014093729464350618,-0.013558546182057644,0.006968612943118353,0.015032086533378328,-0.03368035706552039,-0.10697725715817483,-0.0515343287100909
ParentSwitchRate,0.36157550388942694,0.014093729464350618,1.0,1.0,-0.9620642366595038,0.05472795621499473,0.9971821981174075,-0.6889113379453397,0.6312962333163876,0.003354862956937445
LayerChangeCount,0.36157550388942694,0.014093729464350618,1.0,1.0,-0.9620642366595038,0.05472795621499473,0.9971821981174075,-0.6889113379453397,0.6312962333163876,0.003354862956937445
HopStabilityDuration,-0.39396159943145564,-0.013558546182057644,-0.9620642366595038,-0.9620642366595038,1.0,-0.06376614879907022,-0.9786571849106361,0.6627769604664623,-0.6524622516016381,-0.003354862956939188
RSSI_mean,0.22457951135675938,0.006968612943118353,0.05472795621499473,0.05472795621499473,-0.06376614879907022,1.0,0.053797884242215196,0.012330566240526706,-0.18657182719178236,-0.03984620638586599
RSSI_var,0.37178115136822865,0.015032086533378328,0.9971821981174075,0.9971821981174075,-0.9786571849106361,0.053797884242215196,1.0,-0.6990683438382129,0.644217958276936,0.00937750147483064
RSSI_stability,-0.2375758899208779,-0.03368035706552039,-0.6889113379453397,-0.6889113379453397,0.6627769604664623,0.012330566240526706,-0.6990683438382129,1.0,-0.5119418560281679,-0.05891087463415759
RSSI_Hop_Diff,0.21591136929167729,-0.10697725715817483,0.6312962333163876,0.6312962333163876,-0.6524622516016381,-0.18657182719178236,0.644217958276936,-0.5119418560281679,1.0,0.18965937145506742
LatencyHopRatio,0.0033548629569374417,-0.0515343287100909,0.003354862956937445,0.003354862956937445,-0.003354862956939188,-0.03984620638586599,0.00937750147483064,-0.05891087463415759,0.18965937145506742,1.0
