window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,Label,missing_firmware_fields
70,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.0,0.0,0.4000000000000057,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
75,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.2,0.16,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.2,0.16,0.20000000000000284,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
80,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.4,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.4,0.24,1.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
85,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.6,0.24,0.8000000000000114,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
90,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,1.04,-67,-64,0,False,4,False,4,False,0,0,,,,0.0,-65.6,1.04,0.8000000000000114,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
95,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.6,0.24,0.8000000000000114,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
100,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.0,0.0,0.4000000000000057,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
105,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.0,0.0,0.4000000000000057,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
110,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.4,-67,-65,0,False,4,False,4,False,0,0,,,,0.0,-66.0,0.4,0.4000000000000057,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
115,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.8,0.16,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.8,0.16,0.6000000000000085,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
120,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.0,0.0,0.4000000000000057,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
125,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.6,0.24,0.8000000000000114,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
130,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.8,0.16,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.8,0.16,0.6000000000000085,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
135,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.4,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.4,0.24,1.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
140,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.6,0.24,0.8000000000000114,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
145,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.0,0.0,0.4000000000000057,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
150,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.64,-68,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.64,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
155,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.6,1.44,-70,-67,0,False,4,False,4,False,0,0,,,,0.0,-67.6,1.44,1.1999999999999886,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
160,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.24,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
165,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.6,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.6,0.24,0.19999999999998863,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
170,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.8,0.16,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.8,0.16,0.6000000000000085,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
175,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.0,0.0,0.4000000000000057,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
180,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.8,0.5599999999999999,-68,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.8,0.5599999999999999,0.3999999999999915,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
185,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.4,0.24,-68,-67,0,False,4,False,4,False,0,0,,,,0.0,-67.4,0.24,1.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
190,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.4,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.4,0.24,1.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
