,PDR,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio
PDR,1.0,-0.07759497283948837,0.012526403498077435,-0.008087242556304728,-0.09022961451951665,
RSSI_mean,-0.07759497283948837,1.0,-0.05867048133563134,0.011834851302832877,-0.14361060211847262,-0.22177508511777896
RSSI_var,0.012526403498077435,-0.05867048133563134,1.0,0.058138462052314856,0.11335234532008351,0.13948931956477068
RSSI_stability,-0.008087242556304728,0.011834851302832877,0.058138462052314856,1.0,-0.09898364296585942,-0.05436324869190387
RSSI_Hop_Diff,-0.09022961451951665,-0.14361060211847262,0.11335234532008351,-0.09898364296585942,1.0,-0.05443271789652417
LatencyHopRatio,,-0.22177508511777896,0.13948931956477068,-0.05436324869190387,-0.05443271789652417,1.0
