,IngressEgressDelta,PDR,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio
IngressEgressDelta,1.0,,0.021292285125864365,0.8971306547567696,-0.08145025667554891,0.33056469271339106,-0.7224687984398768,
PDR,,1.0,,-0.7972759718963942,-0.017001796421247477,0.06795056205538019,0.32218530628074815,
HopStabilityDuration,0.021292285125864365,,1.0,,0.005637779851991999,0.06456511883987541,,
RSSI_mean,0.8971306547567696,-0.7972759718963942,,1.0,-0.12142801672244495,0.01986154533879427,-0.5869613038811451,-0.28445965405288115
RSSI_var,-0.08145025667554891,-0.017001796421247477,0.005637779851991999,-0.12142801672244495,1.0,0.062310453236474335,0.01902004247606812,-0.01587763370865165
RSSI_stability,0.33056469271339106,0.06795056205538019,0.06456511883987541,0.01986154533879427,0.062310453236474335,1.0,0.01683621283979249,
RSSI_Hop_Diff,-0.7224687984398768,0.32218530628074815,,-0.5869613038811451,0.01902004247606812,0.01683621283979249,1.0,-0.28445965405292
LatencyHopRatio,,,,-0.28445965405288115,-0.01587763370865165,,-0.28445965405292,1.0
