,IngressEgressDelta,PDR,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio
IngressEgressDelta,1.0,,0.021292285125871384,0.8223280027047356,-0.1927474769618252,0.3319170427209262,-0.7174079070981954,
PDR,,1.0,,-0.8434801621202157,0.30470300104513315,0.07601364572167398,0.17838692788679059,
HopStabilityDuration,0.021292285125871384,,1.0,,0.014837619777099728,0.0643281053967633,,
RSSI_mean,0.8223280027047356,-0.8434801621202157,,1.0,-0.4545016914769243,-0.0047692122284811,-0.527312224840105,-0.2969408759625522
RSSI_var,-0.1927474769618252,0.30470300104513315,0.014837619777099728,-0.4545016914769243,1.0,0.215604418203048,0.18670808108014442,-0.030623866318339805
RSSI_stability,0.3319170427209262,0.07601364572167398,0.0643281053967633,-0.0047692122284811,0.215604418203048,1.0,-0.02965528631209897,
RSSI_Hop_Diff,-0.7174079070981954,0.17838692788679059,,-0.527312224840105,0.18670808108014442,-0.02965528631209897,1.0,-0.2969408759625522
LatencyHopRatio,,,,-0.2969408759625522,-0.030623866318339805,,-0.2969408759625522,1.0
