window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id
250,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,9.0,False,0.0,0.0
255,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
260,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
265,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
270,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
275,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,9.0,False,0.0,0.0
280,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
285,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
290,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
295,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
300,NODE_1CC3ABC198A8,root_COM11_tree_blackhole_r1_20260708_035005_telem.csv,root,1.0,00:00:00:00:00:00,4,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,6.0,False,0.0,0.0
