feature,threshold_accuracy,nan_accuracy,coverage,excluded,majority_baseline,lift_over_majority
ForwardingRatio,0.9990167158308751,0.5733389051399916,0.42498955286251566,False,0.7003760969494359,0.2986406188814392
ConsistencyScore,0.9990167158308751,0.5733389051399916,0.42498955286251566,False,0.7003760969494359,0.2986406188814392
PDR,0.8459507042253521,0.5223568742164647,0.4747179272879231,False,0.7003760969494359,0.1455746072759162
LatencyHopRatio,0.8445121951219512,0.6410363560384454,0.13706644379440033,False,0.7003760969494359,0.14413609817251527
IngressEgressDelta,0.7755954868366067,,1.0,False,0.7003760969494359,0.0752193898871708
HopStabilityDuration,0.703301295445048,,1.0,False,0.7003760969494359,0.0029251984956121246
RSSI_var,0.7020476389469286,,1.0,False,0.7003760969494359,0.0016715419974926427
RSSI_stability,0.7016297534475554,,1.0,False,0.7003760969494359,0.001253656498119482
RSSI_Hop_Diff,0.7010596765197992,0.6000835770998746,0.7492687003760969,False,0.7003760969494359,0.0006835795703632463
ParentSwitchRate,0.7003760969494359,,1.0,False,0.7003760969494359,0.0
RetryRate,0.7003760969494359,,1.0,True,0.7003760969494359,0.0
HopChangeCount,0.7003760969494359,,1.0,False,0.7003760969494359,0.0
RSSI_mean,0.6999442275515895,0.6000835770998746,0.7492687003760969,False,0.7003760969494359,-0.0004318693978464516
TunnelIntensity,,,0.0,True,0.7003760969494359,
TunnelBytes,,,0.0,True,0.7003760969494359,
TunnelLatency,,,0.0,True,0.7003760969494359,
