,PDR,ParentSwitchRate,HopChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio
PDR,1.0,-0.037837828709352844,-0.04840222881799306,0.12612443472051466,-0.1920646098267948,-0.04583497464720761,0.07563414629461071,0.13038706927758983,-0.045358996288369265
ParentSwitchRate,-0.037837828709352844,1.0,0.8368447817979225,-0.5142407317512767,0.0008143560130190882,-0.01531402666872881,-0.017076576006756834,,-0.007799655845111461
HopChangeCount,-0.04840222881799306,0.8368447817979225,1.0,-0.5505106912780215,-0.00030983050489922245,-0.015287320864464037,-0.0024309523963556116,-0.00013038421772705876,-0.01300406082484098
HopStabilityDuration,0.12612443472051466,-0.5142407317512767,-0.5505106912780215,1.0,-0.11230201845526065,-0.007932246848845673,-0.001293802278192888,-0.04171267429862255,-0.01968791675135558
RSSI_mean,-0.1920646098267948,0.0008143560130190882,-0.00030983050489922245,-0.11230201845526065,1.0,-0.14975861064367108,0.09058740279355515,0.5590943871250039,0.031212840066310234
RSSI_var,-0.04583497464720761,-0.01531402666872881,-0.015287320864464037,-0.007932246848845673,-0.14975861064367108,1.0,-0.07799504494729491,0.06873637682009678,0.0034625800116337363
RSSI_stability,0.07563414629461071,-0.017076576006756834,-0.0024309523963556116,-0.001293802278192888,0.09058740279355515,-0.07799504494729491,1.0,-0.05404487694116835,0.000415538253122237
RSSI_Hop_Diff,0.13038706927758983,,-0.00013038421772705876,-0.04171267429862255,0.5590943871250039,0.06873637682009678,-0.05404487694116835,1.0,0.0494153541045472
LatencyHopRatio,-0.045358996288369265,-0.007799655845111461,-0.01300406082484098,-0.01968791675135558,0.031212840066310234,0.0034625800116337363,0.000415538253122237,0.0494153541045472,1.0
