feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,0.8554969264488208,0.99999950000025,0.46676802805821066,0.0,21.999978000022,1910,3479,0.4509916642713423
IngressEgressDelta,0.22535211267605634,0.0,0.7203346589022345,0.0,21.0,3479,3479,0.0
RetryRate,0.00603621126761167,0.0,0.006001494448017099,0.0,0.999999000001,3479,3479,0.0
PDR,0.6925031766200762,1.0,0.21307790049848502,0.0,1.0,1574,3479,0.5475711411325093
ParentSwitchRate,0.003963691445726508,0.0,0.004569964718848309,0.0,1.4285714285714373,3479,3479,0.0
HopChangeCount,0.004886461626904283,0.0,0.004863982217464815,0.0,1.0,3479,3479,0.0
HopStabilityDuration,0.8912331129634855,0.8999999999999773,0.0012658452976959237,0.3999999999999986,0.9000000000000057,3479,3479,0.0
RSSI_mean,-70.49894798548225,-73.0,83.82894078727051,-90.375,-44.2,2801,3479,0.19488358723771204
RSSI_var,1.331174412536819,0.2099999999999999,13.335081753522683,0.0,69.96,3479,3479,0.0
RSSI_stability,0.6889336016096509,0.8999999999999773,0.12910406660780968,0.0,0.9000000000000057,3479,3479,0.0
RSSI_Hop_Diff,3.229126409017714,1.4000000000000057,27.847466881335457,0.0,31.599999999999994,1794,3479,0.4843345789019833
LatencyHopRatio,7.899214250552541,4.7074,448.0601135977753,0.0,380.7963333333333,1659,3479,0.5231388329979879
ConsistencyScore,0.19790614615159344,4.999997500476638e-07,0.4484727449571205,1.666666389343874e-07,20.999978000022,1910,3479,0.4509916642713423
TunnelIntensity,,,,,,0,3479,1.0
TunnelBytes,,,,,,0,3479,1.0
TunnelLatency,,,,,,0,3479,1.0
