window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id
125,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.6,1.8400000000000003,-42.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0
130,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.4,1.4400000000000002,-42.0,-39.0,0.0,False,5.0,False,5.0,False,0.0,0.0
135,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.0,0.0,-42.0,-42.0,0.0,False,4.0,False,4.0,False,0.0,0.0
140,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.2,1.3599999999999999,-42.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0
145,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.6,0.24,-42.0,-41.0,0.0,False,4.0,False,4.0,False,0.0,0.0
150,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.0,2.8,-42.0,-38.0,0.0,False,4.0,False,4.0,False,0.0,0.0
155,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.2,2.5599999999999996,-43.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0
160,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.4,3.04,-44.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0
165,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.0,0.0,-43.0,-43.0,0.0,False,4.0,False,4.0,False,0.0,0.0
170,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.6,0.24,-44.0,-43.0,0.0,False,4.0,False,4.0,False,0.0,0.0
175,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.4,0.24,-44.0,-43.0,0.0,False,4.0,False,4.0,False,0.0,0.0
180,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.2,1.7599999999999998,-44.0,-40.0,0.0,False,4.0,False,4.0,False,0.0,0.0
185,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.6,0.24,-43.0,-42.0,0.0,False,4.0,False,4.0,False,0.0,0.0
190,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.6,0.24,-43.0,-42.0,0.0,False,4.0,False,4.0,False,0.0,0.0
195,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.2,0.96,-42.0,-40.0,0.0,False,4.0,False,4.0,False,0.0,0.0
200,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.0,14.0,-46.0,-35.0,0.0,False,4.0,False,4.0,False,0.0,0.0
205,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.0,24.8,-47.0,-35.0,0.0,False,4.0,False,4.0,False,0.0,0.0
210,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.6,53.04,-54.0,-33.0,0.0,False,4.0,False,4.0,False,0.0,0.0
215,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-45.0,17.2,-52.0,-40.0,0.0,False,4.0,False,4.0,False,0.0,0.0
220,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-51.8,2.1599999999999997,-54.0,-50.0,0.0,False,4.0,False,4.0,False,0.0,0.0
225,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-51.6,5.44,-55.0,-49.0,0.0,False,4.0,False,4.0,False,0.0,0.0
230,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-60.8,4.960000000000001,-64.0,-57.0,0.0,False,3.0,False,3.0,False,0.0,0.0
235,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-62.4,13.440000000000001,-66.0,-56.0,0.0,False,4.0,False,4.0,False,0.0,0.0
240,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-47.8,2.96,-51.0,-46.0,0.0,False,3.0,False,3.0,False,0.0,0.0
245,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-48.4,1.0400000000000003,-50.0,-47.0,0.0,False,4.0,False,4.0,False,0.0,0.0
250,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.6,9.04,-59.0,-50.0,0.0,False,4.0,False,4.0,False,0.0,0.0
255,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-52.2,1.3599999999999999,-53.0,-50.0,0.0,False,4.0,False,4.0,False,0.0,0.0
260,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-52.6,1.8399999999999999,-54.0,-50.0,0.0,False,4.0,False,4.0,False,0.0,0.0
265,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-52.8,0.16,-53.0,-52.0,0.0,False,4.0,False,4.0,False,0.0,0.0
270,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.0,0.0,-53.0,-53.0,0.0,False,4.0,False,4.0,False,0.0,0.0
