,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff
RetryRate,1.0,0.03751448833541541,0.44424820229906437,0.44424820229906437,-0.38168606385474585,-0.10977037420740428,0.198253216326146,-0.14927663985099554,0.17434098214551091
PDR,0.03751448833541541,1.0,-0.11883312430554803,-0.11883312430554803,0.1034244781627197,0.006430936587195371,-0.16977494016604128,-0.03433562896607592,-0.18271877573010922
ParentSwitchRate,0.44424820229906437,-0.11883312430554803,1.0,1.0,-0.867337061727721,-0.028074726151170237,0.1531322133956487,-0.23472094896075235,0.12401931965371224
LayerChangeCount,0.44424820229906437,-0.11883312430554803,1.0,1.0,-0.867337061727721,-0.028074726151170237,0.1531322133956487,-0.23472094896075235,0.12401931965371224
HopStabilityDuration,-0.38168606385474585,0.1034244781627197,-0.867337061727721,-0.867337061727721,1.0,0.016808790385160564,-0.1264365828940964,0.4095114448600546,-0.0812914739243789
RSSI_mean,-0.10977037420740428,0.006430936587195371,-0.028074726151170237,-0.028074726151170237,0.016808790385160564,1.0,-0.5568411182137445,0.06506074483672361,-0.5631108750671601
RSSI_var,0.198253216326146,-0.16977494016604128,0.1531322133956487,0.1531322133956487,-0.1264365828940964,-0.5568411182137445,1.0,-0.22070458005055665,0.6922688124444529
RSSI_stability,-0.14927663985099554,-0.03433562896607592,-0.23472094896075235,-0.23472094896075235,0.4095114448600546,0.06506074483672361,-0.22070458005055665,1.0,-0.10345032497354206
RSSI_Hop_Diff,0.17434098214551091,-0.18271877573010922,0.12401931965371224,0.12401931965371224,-0.0812914739243789,-0.5631108750671601,0.6922688124444529,-0.10345032497354206,1.0
