window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,_pdr_clipped,Label,missing_firmware_fields
55,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-56.2,0.5599999999999999,-57.0,-55.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-56.2,0.5599999999999999,3.799999999999997,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
60,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.0,4.0,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-55.0,4.0,5.0,,0.0,0.0,,0.0,0,4.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
65,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.2,5.36,-57.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-54.2,5.36,5.799999999999997,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
70,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.4,0.6399999999999999,-56.0,-54.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-55.4,0.6399999999999999,4.600000000000001,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
75,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,4,5,-56.25,0.1875,-57.0,-56.0,0.0,False,3.0,False,3.0,False,0.0,0.0,,,,0.0,-56.25,0.1875,3.75,,0.0,0.0,,0.0,0,3.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
80,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.0,2.4,-56.0,-52.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-55.0,2.4,5.0,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
85,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.8,0.96,-57.0,-54.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-55.8,0.96,4.200000000000003,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
90,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.8,0.16,-56.0,-55.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-55.8,0.16,4.200000000000003,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
95,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.8,0.96,-57.0,-54.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-55.8,0.96,4.200000000000003,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
100,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.4,3.04,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-54.4,3.04,5.600000000000001,,0.0,0.0,,0.0,0,4.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
105,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.6,3.44,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-54.6,3.44,5.399999999999999,,0.0,0.0,,0.0,0,4.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
110,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-55.4,0.24,-56.0,-55.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-55.4,0.24,4.600000000000001,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
115,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.4,4.24,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.4,4.24,6.600000000000001,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
120,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-52.6,4.24,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-52.6,4.24,7.399999999999999,,0.0,0.0,,0.0,0,4.0,2.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
