,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency
RetryRate,1.0,0.16632866386133807,0.07300801551289794,0.07300801551289794,-0.06076532134011849,0.1736401332078035,-0.14916973252030372,0.015009863367648785,-0.24909635377672135,0.06417065652462378,0.6710479457544232,0.6710479457544232,0.17797234582512755
PDR,0.16632866386133807,1.0,0.041161451614755554,0.041161451614755554,-0.041161451614755554,0.20561728117653635,0.017572785372938323,-0.10384137513444536,-0.013128087273313214,-0.3295162419536525,0.023496992856242183,0.023496992856242183,-0.1956367896406601
ParentSwitchRate,0.07300801551289794,0.041161451614755554,1.0,1.0,-0.8940007656164416,-0.0031001681291202682,0.1078661543623298,-0.24733964053129187,0.08640839844866059,0.029657777284520973,-0.029935139423809872,-0.029935139423809872,
LayerChangeCount,0.07300801551289794,0.041161451614755554,1.0,1.0,-0.8940007656164416,-0.0031001681291202682,0.1078661543623298,-0.24733964053129187,0.08640839844866059,0.029657777284520973,-0.029935139423809872,-0.029935139423809872,
HopStabilityDuration,-0.06076532134011849,-0.041161451614755554,-0.8940007656164416,-0.8940007656164416,1.0,0.0011423165321276542,-0.10696220156109035,0.2921422283505784,-0.09686346984492171,-0.029657777284520973,0.042400163081104045,0.042400163081104045,
RSSI_mean,0.1736401332078035,0.20561728117653635,-0.0031001681291202682,-0.0031001681291202682,0.0011423165321276542,1.0,-0.6212057820379913,0.11347517356873284,-0.6047021018757802,-0.2022638466240424,-0.024730939521500832,-0.024730939521500832,0.3650906630204479
RSSI_var,-0.14916973252030372,0.017572785372938323,0.1078661543623298,0.1078661543623298,-0.10696220156109035,-0.6212057820379913,1.0,-0.3413932279155263,0.6197304148147756,-0.11245747011343978,-0.008379090345612163,-0.008379090345612163,-0.08255424556413354
RSSI_stability,0.015009863367648785,-0.10384137513444536,-0.24733964053129187,-0.24733964053129187,0.2921422283505784,0.11347517356873284,-0.3413932279155263,1.0,-0.15021186705491985,0.03911340612228758,0.01930918765563667,0.01930918765563667,-0.07392041543352364
RSSI_Hop_Diff,-0.24909635377672135,-0.013128087273313214,0.08640839844866059,0.08640839844866059,-0.09686346984492171,-0.6047021018757802,0.6197304148147756,-0.15021186705491985,1.0,-0.21891884875467632,0.14011470214345204,0.14011470214345204,-0.3650906630204479
LatencyHopRatio,0.06417065652462378,-0.3295162419536525,0.029657777284520973,0.029657777284520973,-0.029657777284520973,-0.2022638466240424,-0.11245747011343978,0.03911340612228758,-0.21891884875467632,1.0,0.10428870528687742,0.10428870528687742,0.8326220957799905
TunnelIntensity,0.6710479457544232,0.023496992856242183,-0.029935139423809872,-0.029935139423809872,0.042400163081104045,-0.024730939521500832,-0.008379090345612163,0.01930918765563667,0.14011470214345204,0.10428870528687742,1.0,1.0,0.17797234582512755
TunnelBytes,0.6710479457544232,0.023496992856242183,-0.029935139423809872,-0.029935139423809872,0.042400163081104045,-0.024730939521500832,-0.008379090345612163,0.01930918765563667,0.14011470214345204,0.10428870528687742,1.0,1.0,0.17797234582512755
TunnelLatency,0.17797234582512755,-0.1956367896406601,,,,0.3650906630204479,-0.08255424556413354,-0.07392041543352364,-0.3650906630204479,0.8326220957799905,0.17797234582512755,0.17797234582512755,1.0
