t_anchor_s,nodes,status,unresolved_parents,max_layer,layers_agree,reason,run_id
-360.0,2,OK,0,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618",linear_blackhole_20260917_125131
-317.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-316.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-315.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-314.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-313.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-312.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-311.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-310.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-309.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-308.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-307.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-306.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-305.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-304.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-303.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-302.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-301.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-300.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-299.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-298.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-297.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-296.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-295.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-294.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
